,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Car
0,Abbotsford,68 Studley St,2,h,1050173.344955408,SS,Jellis,3/09/2016,2.5,1.0
1,Abbotsford,85 Turner St,2,h,1480000.0,S,Biggin,3/12/2016,2.5,1.0
2,Abbotsford,25 Bloomburg St,2,h,1035000.0,S,Biggin,4/02/2016,2.5,0.0
3,Abbotsford,18/659 Victoria St,3,u,1050173.344955408,VB,Rounds,4/02/2016,2.5,1.0
4,Abbotsford,5 Charles St,3,h,1465000.0,SP,Biggin,4/03/2017,2.5,0.0
5,Abbotsford,40 Federation La,3,h,850000.0,PI,Biggin,4/03/2017,2.5,1.0
6,Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,4/06/2016,2.5,2.0
7,Abbotsford,16 Maugie St,4,h,1050173.344955408,SN,Nelson,6/08/2016,2.5,2.0
8,Abbotsford,53 Turner St,2,h,1050173.344955408,S,Biggin,6/08/2016,2.5,2.0
9,Abbotsford,99 Turner St,2,h,1050173.344955408,S,Collins,6/08/2016,2.5,1.0
10,Abbotsford,129 Charles St,2,h,941000.0,S,Jellis,7/05/2016,2.5,0.0
11,Abbotsford,124 Yarra St,3,h,1876000.0,S,Nelson,7/05/2016,2.5,0.0
12,Abbotsford,121/56 Nicholson St,2,u,1050173.344955408,PI,Biggin,7/11/2016,2.5,1.0
13,Abbotsford,17 Raphael St,4,h,1050173.344955408,W,Biggin,7/11/2016,2.5,0.0
14,Abbotsford,98 Charles St,2,h,1636000.0,S,Nelson,8/10/2016,2.5,2.0
15,Abbotsford,217 Langridge St,3,h,1000000.0,S,Jellis,8/10/2016,2.5,2.0
16,Abbotsford,18a Mollison St,2,t,745000.0,S,Jellis,8/10/2016,2.5,2.0
17,Abbotsford,6/241 Nicholson St,1,u,300000.0,S,Biggin,8/10/2016,2.5,1.0
18,Abbotsford,10 Valiant St,2,h,1097000.0,S,Biggin,8/10/2016,2.5,2.0
19,Abbotsford,403/609 Victoria St,2,u,542000.0,S,Dingle,8/10/2016,2.5,2.0
20,Abbotsford,2 Rich St,2,h,1050173.344955408,SP,Biggin,10/12/2016,2.5,1.0
21,Abbotsford,25/84 Trenerry Cr,2,u,760000.0,SP,Biggin,10/12/2016,2.5,2.0
22,Abbotsford,106/119 Turner St,1,u,481000.0,SP,Purplebricks,10/12/2016,2.5,2.0
23,Abbotsford,411/8 Grosvenor St,2,u,700000.0,VB,Jellis,12/11/2016,2.5,1.0
24,Abbotsford,40 Nicholson St,3,h,1350000.0,VB,Nelson,12/11/2016,2.5,2.0
25,Abbotsford,123/56 Nicholson St,2,u,750000.0,S,Biggin,12/11/2016,2.5,1.0
26,Abbotsford,22 Park St,4,h,1985000.0,S,Biggin,12/11/2016,2.5,2.0
27,Abbotsford,13/84 Trenerry Cr,1,u,500000.0,S,Biggin,12/11/2016,2.5,2.0
28,Abbotsford,45 William St,2,h,1172500.0,S,Biggin,13/08/2016,2.5,1.0
29,Abbotsford,7/20 Abbotsford St,1,u,441000.0,SP,Greg,14/05/2016,2.5,1.0
30,Abbotsford,16 William St,2,h,1310000.0,S,Jellis,15/10/2016,2.5,2.0
31,Abbotsford,16/11 Nicholson St,3,u,1050173.344955408,PI,Philip,16/04/2016,2.5,2.0
32,Abbotsford,42 Henry St,3,h,1200000.0,S,Jellis,16/07/2016,2.5,1.0
33,Abbotsford,250 Langridge St,2,t,847000.0,S,Jellis,16/07/2016,2.5,2.0
34,Abbotsford,16b Mollison St,2,h,1050173.344955408,PI,Biggin,16/07/2016,2.5,2.0
35,Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,16/07/2016,2.5,1.0
36,Abbotsford,196 Nicholson St,3,h,955000.0,S,Collins,17/09/2016,2.5,0.0
37,Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,17/09/2016,2.5,1.0
38,Abbotsford,3/72 Charles St,4,h,1330000.0,PI,Kay,18/03/2017,2.5,2.0
39,Abbotsford,1/1 Mayfield St,3,h,1050173.344955408,SP,Nelson,18/03/2017,2.5,1.0
40,Abbotsford,13/11 Nicholson St,3,t,900000.0,S,Beller,18/03/2017,2.5,2.0
41,Abbotsford,138/56 Nicholson St,3,u,1090000.0,S,Jellis,18/03/2017,2.5,2.0
42,Abbotsford,6/219 Nicholson St,2,u,500000.0,S,Collins,18/06/2016,2.5,1.0
43,Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,18/06/2016,2.5,1.0
44,Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,19/11/2016,2.5,0.0
45,Abbotsford,65/80 Trenerry Cr,1,u,480000.0,S,Biggin,19/11/2016,2.5,2.0
46,Abbotsford,119/52 Nicholson St,1,u,423500.0,S,hockingstuart,22/05/2016,2.5,2.0
47,Abbotsford,8b Park St,4,h,1050173.344955408,PI,Biggin,22/05/2016,2.5,2.0
48,Abbotsford,5/20 Abbotsford St,1,u,426000.0,SP,Greg,22/08/2016,2.5,1.0
49,Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,22/08/2016,2.5,1.0
50,Abbotsford,116/56 Nicholson St,1,u,457000.0,S,Jellis,22/08/2016,2.5,1.0
51,Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,22/08/2016,2.5,2.0
52,Abbotsford,49/84 Trenerry Cr,2,h,700000.0,S,Biggin,23/04/2016,2.5,2.0
53,Abbotsford,31 Turner St,4,h,1542000.0,S,Collins,24/09/2016,2.5,1.0
54,Abbotsford,17/1 Abbot St,3,t,962000.0,SP,Jellis,25/02/2017,2.5,2.0
55,Abbotsford,166 Gipps St,3,h,1290000.0,S,Biggin,25/02/2017,2.5,2.0
56,Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,25/02/2017,2.5,1.0
57,Abbotsford,11/205 Gipps St,1,u,470000.0,S,Nelson,26/07/2016,2.5,1.0
58,Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,27/11/2016,2.5,0.0
59,Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,27/11/2016,2.5,1.0
60,Abbotsford,4/328 Johnston St,2,u,1050173.344955408,PI,Biggin,28/05/2016,2.5,2.0
61,Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,28/05/2016,2.5,0.0
62,Abbotsford,82/84 Trenerry Cr,2,u,970000.0,SP,Biggin,28/05/2016,2.5,2.0
63,Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,30/07/2016,2.5,1.0
64,Abbotsford,22 Park St,4,h,1050173.344955408,W,Biggin,30/07/2016,2.5,2.0
65,Abbotsford,40/80 Trenerry Cr,3,h,927000.0,S,Biggin,30/07/2016,2.5,2.0
66,Airport West,154 Halsey Rd,3,t,840000.0,PI,Nelson,3/09/2016,13.5,1.0
67,Airport West,50 Bedford St,3,h,730000.0,VB,Nelson,3/12/2016,13.5,1.0
68,Airport West,50 Bedford St,3,h,770000.0,SP,Nelson,4/03/2017,13.5,1.0
69,Airport West,5 Harrington Rd,3,h,1050173.344955408,S,Brad,4/03/2017,13.5,1.0
70,Airport West,23 Hart St,2,h,603000.0,S,Nelson,4/03/2017,13.5,1.0
71,Airport West,1/80 Hawker St,3,t,700000.0,S,Brad,4/03/2017,13.5,2.0
72,Airport West,1/37 Hillside Gr,3,h,600000.0,S,Maddison,4/03/2017,13.5,1.0
73,Airport West,2/49 McIntosh St,2,u,500000.0,VB,Barry,4/03/2017,13.5,1.0
74,Airport West,4/9 West Ct,2,t,420000.0,VB,Barry,4/06/2016,13.5,2.0
75,Airport West,1/36 York St,3,t,500000.0,VB,Nelson,4/06/2016,13.5,2.0
76,Airport West,33 Bowes Av,5,h,1035000.0,S,Airport,6/08/2016,13.5,2.0
77,Airport West,89 Bowes Av,4,h,960000.0,S,Barry,6/08/2016,13.5,2.0
78,Airport West,45 Laurence Av,4,h,960000.0,S,Nelson,6/08/2016,13.5,2.0
79,Airport West,54 Marshall Rd,3,h,720000.0,S,Barry,6/08/2016,13.5,1.0
80,Airport West,36 Roberts Rd,4,h,785000.0,S,Considine,6/08/2016,13.5,2.0
81,Airport West,11 Harrington Rd,6,h,725000.0,SP,Barry,7/05/2016,13.5,2.0
82,Airport West,2/252 Parer Rd,2,t,450000.0,S,Barry,7/05/2016,13.5,1.0
83,Airport West,3/19 Hart St,2,u,515000.0,S,Barry,7/11/2016,13.5,1.0
84,Airport West,81a Roberts Rd,3,h,680000.0,VB,Nelson,8/10/2016,13.5,2.0
85,Airport West,2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,10/09/2016,13.5,1.0
86,Airport West,3 Deidre Ct,3,h,895000.0,PI,Rendina,10/09/2016,13.5,6.0
87,Airport West,3/24 Elstone Av,3,u,600000.0,VB,Nelson,10/09/2016,13.5,2.0
88,Airport West,13 Etzel St,3,h,805000.0,S,Nelson,10/12/2016,13.5,1.0
89,Airport West,37a North St,3,t,760000.0,PI,Barry,10/12/2016,13.5,2.0
90,Airport West,1/43 Cameron St,3,u,752000.0,S,Nelson,11/02/2017,13.5,1.0
91,Airport West,1/69 Bowes Av,3,u,580000.0,VB,Nelson,12/11/2016,13.5,2.0
92,Airport West,2/9 El Reno Cr,3,h,725000.0,PI,Ray,12/11/2016,13.5,2.0
93,Airport West,92 McNamara Av,4,h,758000.0,S,Jellis,13/08/2016,13.5,2.0
94,Airport West,145a Victory Rd,2,u,440000.0,S,Barry,13/08/2016,13.5,1.0
95,Airport West,20 Creswell Av,3,h,970000.0,S,Barry,14/05/2016,13.5,2.0
96,Airport West,241 Parer Rd,5,h,755000.0,PI,Propertyau,14/05/2016,13.5,2.0
97,Airport West,71 Bowes Av,4,h,985000.0,S,Barry,15/10/2016,13.5,2.0
98,Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,15/10/2016,13.5,2.0
99,Airport West,2/112 Parer Rd,2,u,509500.0,SP,Nelson,15/10/2016,13.5,2.0
100,Airport West,180 Parer Rd,3,h,830000.0,S,Barry,16/04/2016,13.5,2.0
