Date,Time,PT08.S1(CO),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),T,RH,AH,CO(GT)
3/10/2004,18:00:00,1360,1046,166,1056,113,13.6,48.9,0.7578,2.6
3/10/2004,19:00:00,1292,955,103,1174,92,13.3,47.7,0.7255,2
3/10/2004,20:00:00,1402,939,131,1140,114,11.9,54,0.7502,2.2
3/10/2004,21:00:00,1376,948,172,1092,122,11,60,0.7867,2.2
3/10/2004,22:00:00,1272,836,131,1205,116,11.2,59.6,0.7888,1.6
3/10/2004,23:00:00,1197,750,89,1337,96,11.2,59.2,0.7848,1.2
3/11/2004,0:00:00,1185,690,62,1462,77,11.3,56.8,0.7603,1.2
3/11/2004,1:00:00,1136,672,62,1453,76,10.7,60,0.7702,1
3/11/2004,2:00:00,1094,609,45,1579,60,10.7,59.7,0.7648,0.9
3/11/2004,3:00:00,1010,561,-200,1705,-200,10.3,60.2,0.7517,0.6
3/11/2004,4:00:00,1011,527,21,1818,34,10.1,60.5,0.7465,-200
3/11/2004,5:00:00,1066,512,16,1918,28,11,56.2,0.7366,0.7
3/11/2004,6:00:00,1052,553,34,1738,48,10.5,58.1,0.7353,0.7
3/11/2004,7:00:00,1144,667,98,1490,82,10.2,59.6,0.7417,1.1
3/11/2004,8:00:00,1333,900,174,1136,112,10.8,57.4,0.7408,2
3/11/2004,9:00:00,1351,960,129,1079,101,10.5,60.6,0.7691,2.2
3/11/2004,10:00:00,1233,827,112,1218,98,10.8,58.4,0.7552,1.7
3/11/2004,11:00:00,1179,762,95,1328,92,10.5,57.9,0.7352,1.5
3/11/2004,12:00:00,1236,774,104,1301,95,9.5,66.8,0.7951,1.6
3/11/2004,13:00:00,1286,869,146,1162,112,8.3,76.4,0.8393,1.9
3/11/2004,14:00:00,1371,1034,207,983,128,8,81.1,0.8736,2.9
3/11/2004,15:00:00,1310,933,184,1082,126,8.3,79.8,0.8778,2.2
3/11/2004,16:00:00,1292,912,193,1103,131,9.7,71.2,0.8569,2.2
3/11/2004,17:00:00,1383,1020,243,1008,135,9.8,67.6,0.8185,2.9
3/11/2004,18:00:00,1581,1319,281,799,151,10.3,64.2,0.8065,4.8
3/11/2004,19:00:00,1776,1488,383,702,172,9.7,69.3,0.8319,6.9
3/11/2004,20:00:00,1640,1404,351,743,165,9.6,67.8,0.8133,6.1
3/11/2004,21:00:00,1313,1076,240,957,136,9.1,64,0.7419,3.9
3/11/2004,22:00:00,965,749,94,1325,85,8.2,63.4,0.6905,1.5
3/11/2004,23:00:00,913,629,47,1565,53,8.2,60.8,0.6657,1
3/12/2004,0:00:00,1080,805,122,1254,97,8.3,58.5,0.6438,1.7
3/12/2004,1:00:00,1044,829,133,1247,110,7.7,59.7,0.6308,1.9
3/12/2004,2:00:00,988,718,82,1396,91,7.1,61.8,0.6276,1.4
3/12/2004,3:00:00,889,574,-200,1680,-200,7,62.3,0.6261,0.8
3/12/2004,4:00:00,831,506,21,1893,32,6.1,65.9,0.6248,-200
3/12/2004,5:00:00,847,501,30,1895,44,6.3,65,0.6233,0.6
3/12/2004,6:00:00,927,571,56,1685,71,6.8,62.9,0.6234,0.8
3/12/2004,7:00:00,1091,730,109,1387,104,6.4,65.1,0.6316,1.4
3/12/2004,8:00:00,1587,1236,307,897,141,7.3,63.1,0.6499,4.4
3/12/2004,9:00:00,1545,1353,-200,767,-200,9.2,56.2,0.6561,-200
3/12/2004,10:00:00,1350,1118,187,912,122,13.2,41.7,0.632,3.1
3/12/2004,11:00:00,1263,1037,216,969,143,14.3,38.4,0.6243,2.7
3/12/2004,12:00:00,1206,986,143,1035,113,15,36.5,0.6195,2.1
3/12/2004,13:00:00,1252,1016,160,1008,116,16.1,34.5,0.6262,2.5
3/12/2004,14:00:00,1287,1078,163,949,123,16.3,35.7,0.656,2.7
3/12/2004,15:00:00,1353,1122,190,922,126,15.8,37,0.661,2.9
3/12/2004,16:00:00,1309,1073,178,954,120,15.9,37.2,0.6657,2.8
3/12/2004,17:00:00,1274,1041,150,1006,119,16.9,34.3,0.6549,2.4
3/12/2004,18:00:00,1510,1277,206,812,149,15.1,39.6,0.6766,3.9
3/12/2004,19:00:00,1525,1246,202,821,145,14.4,43.4,0.7084,3.7
3/12/2004,20:00:00,1843,1610,340,624,170,12.9,50.5,0.7478,6.6
3/12/2004,21:00:00,1598,1299,274,752,149,12.1,53.3,0.7536,4.4
3/12/2004,22:00:00,1484,1127,253,839,139,11,59.1,0.774,3.5
3/12/2004,23:00:00,1677,1346,300,741,134,9.7,64.6,0.7771,5.4
3/13/2004,0:00:00,1280,964,193,963,113,9.5,64.1,0.7597,2.7
3/13/2004,1:00:00,1196,873,139,1071,97,9.1,63.9,0.7423,1.9
3/13/2004,2:00:00,1184,782,83,1176,82,8.8,63.9,0.7256,1.6
3/13/2004,3:00:00,1172,783,-200,1179,-200,7.8,67.5,0.7173,1.7
3/13/2004,4:00:00,1147,821,109,1132,83,7,71.1,0.7158,-200
3/13/2004,5:00:00,978,625,62,1420,65,8.3,63.6,0.6982,1
3/13/2004,6:00:00,1100,646,53,1406,60,7.2,67.5,0.6887,1.2
3/13/2004,7:00:00,1112,770,139,1228,77,6.3,71.9,0.6932,1.5
3/13/2004,8:00:00,1336,1043,256,935,96,6.5,71.6,0.6945,2.7
3/13/2004,9:00:00,1408,1153,295,830,119,9.6,59.7,0.7124,3.7
